"Baga Beach is the most famous of all Goan beaches and as a tourist visiting Goa you really haven’t been to Goa if you haven’t been to Baga. Full to the brim with activities you can indulge in, Baga Beach and its surrounding areas will not give you time to get bored. There is always something exciting going on here. ","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic1.jpg?alt=media&token=267a9d96-b7cc-43b5-b504-1717330de145","Baga","Baga Beach","0","Beach","15.5553","73.7517","1"
"The largest beach in Goa, Calangute Beach is also affectionately known as the “Queen of Beaches”. It is among the top ten beaches in the world, which means it is one of the tourist places in Goa that you should not miss. It is a big, serene beach with activities enough to fill your mind for the entirety of your trip. The beach alone is a great attraction for tourists. The beach is ideal for both the options,  lying down in the sand without the fear of being run over or trying your hand at some water sports.  There are a lot of options to choose from. The distance of Calangute from Baga Beach is not great; the two beaches are only separated from each other by some rocks. You can choose to have breakfast or lunch at Baga or Calangute. There are also many great sight-seeing opportunities near Calangute such as Morjim Beach, St. Alex Church, the Water Pond of Arambol, Ashvem Beach, the Aguada Lighthouse & Aguada Fort, Nerul River, the Friday Local Mapusa Market, River Betul & Betul Estuary","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic2.jpg?alt=media&token=6f3e4562-fbb3-4d87-a102-a0c2e6ab1084","Calangute, North Goa","Calangute Beach","0","Beach","15.5494","73.7535","2"
"""There is no dearth of water related activities in Goa, of course. But while the different beaches up and down Goa offer tourists many options, these options are not to be found all in one place. Not so in grand island. Grand Island is the nirvana of Goan water-sports. There is a lot to be experienced here from diving to snorkelling to fishing. Scuba diving in Goa is the most popular activity because it offers so much in terms of underwater exploration.  There are ship wrecks to be found here as well as some reefs. The “Suzy” wreck and the “Davy Jones Locker” are especially popular with divers as are Serge City, Bounty Rock, and Turbo Tunnel. Experienced and beginner divers both find something to satisfy in Grand Island. You can also go snorkelling.","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic5.jpg?alt=media&token=c8c67a39-417d-4777-96ad-4b79ea258b69","Grand Island, South Goa","Illha Grand","0","Island","15.3527","73.7779","3"
"The Dudhsagar Waterfalls are situated on the Goa-Karnataka border and are one of India’s must-see sights. The four-tiered waterfall structure is one of the tallest in India and is located on the Mandovi River. The white water cascades down from a height of nearly 1017 feet off a nearly steep mountain face. They form a part of the Bhagwan Mahaveer Sanctuary and Mollem National Park, so the best way to reach them is by entering the national park and taking a van allocated by the park to the falls.  The Dudhsagar trek inside the park is closed to the public but you can still reach the waterfalls by trekking from Kulem and following the jeep trail. Another possible route is the trek from Castle Rock in Karnataka. Reaching the waterfalls will not be an easy task but it is one that is worth every ounce of effort put into it.  They are best experienced during the monsoons as they lose their force during the dry season.  Many tours are organized over this time so you can choose to go as a part","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic6.jpg?alt=media&token=0d71265d-ad00-4c07-878c-65b232acfba3","Sanguem Taluka","DudhSagar WaterFalls","0","Waterfall","15.3144","74.3143","4"
"Another heritage from the Portuguese, Fort Aguada has been standing stern on the beach facing the Arabian Sea from 1612 when it was built in order to provide defence against the invading Dutch and the Marathas. It was a grand old fort in its time with the capacity to hold 79 cannons among other weapons of defense. It was one of the prized possessions of the Portuguese. Today, it stands as a famous landmark dividing the Sinquerium Beach and the Candolim Beach.  There is an old lighthouse standing within the fort which was built in 1864, the oldest lighthouse of its shape and size in India. Fort Aguada is a great place to explore when you are out visiting the Candolim or Sinquerium Beaches. The architecture gives a good insight into the building techniques of old Portuguese architects and it has some amazing views you should really see. The old fort provides a good view of the sea and the sunset is reckoned to be lovely.","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/%5Dpic7.jpg?alt=media&token=8f704b88-7633-4c98-b14d-26d133ed913e","Candolim , North Goa","Aguada Fort","0","Fort","15.4926","73.7732","5"
"Running from Calangute Beach on one side to Fort Aguada on the other is the Candolim Beach. The day activities offered on this beach are its best attraction. You can perform a whole host of activities on the beach including a vast array of water sports, all at very reasonable prices. You can choose to spend some time at Candolim Beach and then head over to Calangute next door or just spend all your day on this beach and explore the sights nearby.  Renting a scooter in order to get around freely is the best option and will only cost around Rs.300/- for the day. Many churches and chapels dot its neighbourhood and there is also an old lighthouse which stands inside Fort Aguada. The Fort Aguada Jail is also a tourist attraction. The best part about Candolim Beach is that it has significantly lesser footfall.","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic8.png?alt=media&token=84b31d83-cb6a-44f7-a5f6-1d615167ed5d","Candolim, North Goa","Candolim Beach","0","Beach","15.5116","73.772","6"
"Goa is India’s favourite party place. Therefore, you simply have to visit one of the many clubs scattered around Goa on your visit there. Tito’s Street is one of the best clubs you can visit. Tito’s Street, named after the street it is located on, is a club that attracts a lot of crowd especially because of its prime location and its top-notch service. Baga beach, where the club is located, is a party hub so it is no wonder that loads of tourists find their way to Tito’s Street after sundown.  The club is known for its excellent services and this compensates amply for the slightly overpriced tags on drinks and food. The place is made up of two levels: the lower level is a dance floor with a separate dance space for couples; the upper level allows people to sit and watch the activity below while enjoying their food and drinks. The DJ is reckoned to be very good and you’re sure to get in some soul-pumping dancing on your visit.","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic9.jpg?alt=media&token=9c228c7e-5a9c-484e-b6e2-6c25cc7daefa","Tito’s Street, Baga Beach, North Goa","Tito's Street","0","Club","15.5565","73.754","7"
"Housing the miraculous statue of Mae de Deus (Mother of God) which was brought from the ruins of the convent of Mae de Deus at Old Goa, this church in Saligao stands as one of the finest examples of the neo-gothic style of architecture. The church is situated in the amazing surroundings of the typical Goan countryside giving it the look of a castle from a fairy tale. The church was built in the year 1873. The first Sunday of May is celebrated as the church feast, the feast of Our Lady, the Mother of God which is the best time to join the celebrations. Claiming its fame with the miraculous Mae de Deus statue of Old Goa, The Mae de Deus church has a glamorous charm of its own which draws a lot of tourists from all over the world. Looking like a princess castle with its gothic spires and pristine white walls, the church mesmerizes all with its magnificent dome-shaped exteriors as well as its carved interiors. Its proximity from Calangute Beach makes it popular amongst locals and tourists ","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic10.png?alt=media&token=2e593c9d-97aa-4477-b84b-d5dfbbf8d5e5","Saligao","Mae De Deus Church","0","Church","15.547","73.7854","8"
"One of the most important of all tourist places in Goa as well as a central landmark for Catholics, the Bom Jesus Basilica is the place in which the incorrupt body of St Francis Xavier is kept. The Church was built in 1605 and the body of the Saint was brought to it in 1622 where it has laid since in its glass mausoleum. The body is perhaps the greatest attraction of the Basilica. A gallery of Modern Art is also a part of the Basilica.  The building is constructed in baroque style and is considered one of the best examples of baroque architecture in India. You can visit the Bom Jesus Basillica in December for the best experience of the tradition as the feast and novena take place at that time along with Christmas celebrations.","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/pic111.jpg?alt=media&token=49913d92-b7be-483e-b912-07879d43c387","Old Goa","Bom Jesus Basilica","0","Church","15.5009","73.9116","9"
"From the village of St. Estevam, the fort of Jua can be approached by means of a fairly formidable flight of rough steps. The view from the fort at Sant Estevam is actually scenic looking down towards the iron ore mines and loaded barges moving towards Mormugao. Originally, the fort was believed to serve as an outpost to protect Ilhas from Muslim invasions.It has been quoted that here lies the remains of a fort with beautiful hill view which is perfect for sunsets.","https://firebasestorage.googleapis.com/v0/b/sih2020-cad27.appspot.com/o/Historical-Places-in-Goa-fort-of-st.estevam.jpg?alt=media&token=4ba3ff96-7159-45f1-bab3-5e1c4ae254cc","St Estevam Island","Fort of St Estevam","0","Fort","15.536","73.9542","10"
